sourceId,year,branch,gender,skillCategory,placed,cgpa,codingScore,communicationScore,internships
2024001,2024,CSE,Male,C,0,8.4,9.8,6.7,0
2024002,2024,CSE,Male,C,1,8.3,8.7,7.2,2
2024003,2024,CSE,Male,C,1,8.1,9.6,7.5,1
2024004,2024,CSE,Male,Python,0,8.0,9.4,6.2,0
2024005,2024,CSE,Male,Python,0,7.0,9.3,7.0,1
2024006,2024,CSE,Male,Python,0,7.5,9.8,6.8,0
2024007,2024,CSE,Male,Java,1,7.7,9.8,8.4,2
2024008,2024,CSE,Male,Java,1,9.4,9.1,7.9,2
2024009,2024,CSE,Male,Java,1,7.7,7.5,8.6,3
2024010,2024,CSE,Male,SQL,1,7.3,9.8,6.5,3
2024011,2024,CSE,Male,SQL,0,6.9,9.0,9.2,1
2024012,2024,CSE,Male,SQL,0,8.1,9.7,5.7,0
2024013,2024,CSE,Male,Machine Learning,1,8.7,9.8,6.1,1
2024014,2024,CSE,Male,Machine Learning,1,9.2,8.5,7.4,0
2024015,2024,CSE,Male,Machine Learning,1,8.8,9.8,5.7,0
2024016,2024,CSE,Male,Data Visualization,1,8.4,9.8,8.9,2
2024017,2024,CSE,Male,Data Visualization,0,6.0,8.0,6.7,1
2024018,2024,CSE,Male,Data Visualization,1,8.0,9.8,9.0,1
2024019,2024,CSE,Female,C,0,7.6,7.7,7.8,1
2024020,2024,CSE,Female,C,0,7.7,8.9,6.9,1
2024021,2024,CSE,Female,C,0,6.3,7.3,7.7,0
2024022,2024,CSE,Female,Python,1,7.7,9.8,9.1,2
2024023,2024,CSE,Female,Python,1,6.7,9.1,9.0,3
2024024,2024,CSE,Female,Python,1,8.6,8.4,5.6,2
2024025,2024,CSE,Female,Java,0,7.4,7.8,6.3,0
2024026,2024,CSE,Female,Java,1,8.7,9.8,8.6,1
2024027,2024,CSE,Female,Java,1,8.9,9.4,5.5,1
2024028,2024,CSE,Female,SQL,0,7.7,7.4,8.7,2
2024029,2024,CSE,Female,SQL,1,9.4,8.2,8.8,2
2024030,2024,CSE,Female,SQL,0,7.9,7.9,6.2,0
2024031,2024,CSE,Female,Machine Learning,1,8.8,8.3,5.7,2
2024032,2024,CSE,Female,Machine Learning,0,6.3,7.7,5.6,1
2024033,2024,CSE,Female,Machine Learning,1,7.5,9.8,8.9,1
2024034,2024,CSE,Female,Data Visualization,0,6.3,7.9,7.7,2
2024035,2024,CSE,Female,Data Visualization,1,9.2,8.2,5.6,1
2024036,2024,CSE,Female,Data Visualization,1,8.4,9.8,6.8,2
2024037,2024,CSD,Male,C,0,9.3,7.9,7.1,0
2024038,2024,CSD,Male,C,1,7.6,9.1,6.0,3
2024039,2024,CSD,Male,C,1,9.5,9.8,7.1,2
2024040,2024,CSD,Male,Python,0,7.5,7.8,5.5,0
2024041,2024,CSD,Male,Python,1,8.3,9.2,5.7,2
2024042,2024,CSD,Male,Python,0,7.5,7.6,9.0,0
2024043,2024,CSD,Male,Java,0,7.7,9.3,8.9,1
2024044,2024,CSD,Male,Java,0,8.5,7.7,8.1,0
2024045,2024,CSD,Male,Java,0,8.1,7.8,6.9,1
2024046,2024,CSD,Male,SQL,0,8.2,9.2,7.0,1
2024047,2024,CSD,Male,SQL,0,7.8,7.8,8.0,2
2024048,2024,CSD,Male,SQL,1,8.7,9.8,6.3,1
2024049,2024,CSD,Male,Machine Learning,0,6.5,9.5,8.7,1
2024050,2024,CSD,Male,Machine Learning,1,8.4,9.8,9.1,1
2024051,2024,CSD,Male,Machine Learning,1,8.6,9.8,5.6,2
2024052,2024,CSD,Male,Data Visualization,0,6.3,6.9,5.6,0
2024053,2024,CSD,Male,Data Visualization,0,7.1,9.2,9.2,1
2024054,2024,CSD,Male,Data Visualization,0,7.7,7.5,9.1,0
2024055,2024,CSD,Female,C,0,6.3,8.6,7.7,2
2024056,2024,CSD,Female,C,0,7.2,8.6,7.3,0
2024057,2024,CSD,Female,C,0,6.9,7.0,8.8,1
2024058,2024,CSD,Female,Python,0,6.8,8.6,8.7,1
2024059,2024,CSD,Female,Python,0,7.6,8.3,6.0,0
2024060,2024,CSD,Female,Python,0,7.1,8.2,7.1,0
2024061,2024,CSD,Female,Java,0,6.7,7.4,7.4,1
2024062,2024,CSD,Female,Java,0,6.5,8.6,6.4,1
2024063,2024,CSD,Female,Java,0,6.4,7.9,5.3,1
2024064,2024,CSD,Female,SQL,0,6.8,6.9,6.4,0
2024065,2024,CSD,Female,SQL,0,8.6,8.2,5.9,1
2024066,2024,CSD,Female,SQL,1,8.9,9.8,7.7,1
2024067,2024,CSD,Female,Machine Learning,1,7.6,9.3,7.4,2
2024068,2024,CSD,Female,Machine Learning,1,8.3,9.2,9.0,2
2024069,2024,CSD,Female,Machine Learning,0,6.3,8.8,5.4,1
2024070,2024,CSD,Female,Data Visualization,1,8.0,9.4,6.7,2
2024071,2024,CSD,Female,Data Visualization,1,9.5,8.7,8.4,2
2024072,2024,CSD,Female,Data Visualization,1,9.1,8.9,7.7,2
2024073,2024,EEE,Male,C,0,8.1,7.7,8.4,0
2024074,2024,EEE,Male,C,1,8.2,8.3,8.1,3
2024075,2024,EEE,Male,C,0,8.4,8.0,6.4,1
2024076,2024,EEE,Male,Python,0,6.3,8.6,8.1,0
2024077,2024,EEE,Male,Python,0,6.9,7.9,6.2,3
2024078,2024,EEE,Male,Python,0,7.9,7.2,7.0,3
2024079,2024,EEE,Male,Java,0,8.8,7.7,6.0,2
2024080,2024,EEE,Male,Java,0,7.7,8.9,5.9,1
2024081,2024,EEE,Male,Java,0,7.8,8.1,6.4,1
2024082,2024,EEE,Male,SQL,0,6.3,8.0,8.5,2
2024083,2024,EEE,Male,SQL,0,8.6,9.8,5.4,0
2024084,2024,EEE,Male,SQL,0,7.3,8.3,8.7,0
2024085,2024,EEE,Male,Machine Learning,0,6.6,9.0,8.6,0
2024086,2024,EEE,Male,Machine Learning,1,7.6,9.8,7.5,2
2024087,2024,EEE,Male,Machine Learning,0,6.7,8.2,6.7,1
2024088,2024,EEE,Male,Data Visualization,0,6.6,9.3,6.5,0
2024089,2024,EEE,Male,Data Visualization,0,9.0,9.8,5.6,0
2024090,2024,EEE,Male,Data Visualization,1,8.8,8.1,8.0,2
2024091,2024,EEE,Female,C,0,8.1,8.6,6.7,1
2024092,2024,EEE,Female,C,0,8.3,8.9,8.2,1
2024093,2024,EEE,Female,C,0,6.8,9.1,8.2,3
2024094,2024,EEE,Female,Python,1,8.6,8.5,8.7,1
2024095,2024,EEE,Female,Python,0,9.2,9.4,6.9,0
2024096,2024,EEE,Female,Python,0,7.2,8.4,6.7,1
2024097,2024,EEE,Female,Java,0,6.6,7.4,7.3,2
2024098,2024,EEE,Female,Java,0,6.6,6.5,7.0,2
2024099,2024,EEE,Female,Java,0,8.5,7.4,9.1,1
2024100,2024,EEE,Female,SQL,1,9.4,8.8,8.5,2
2024101,2024,EEE,Female,SQL,0,6.7,7.5,5.7,1
2024102,2024,EEE,Female,SQL,0,6.9,8.1,8.2,1
2024103,2024,EEE,Female,Machine Learning,0,7.4,7.6,5.7,1
2024104,2024,EEE,Female,Machine Learning,1,8.0,8.0,8.8,3
2024105,2024,EEE,Female,Machine Learning,1,8.6,8.1,8.1,1
2024106,2024,EEE,Female,Data Visualization,0,7.4,8.1,5.9,2
2024107,2024,EEE,Female,Data Visualization,1,8.4,8.2,9.0,2
2024108,2024,EEE,Female,Data Visualization,0,8.6,9.4,6.1,0
2024109,2024,AIML,Male,C,1,8.1,9.8,8.7,2
2024110,2024,AIML,Male,C,1,8.2,9.5,6.4,1
2024111,2024,AIML,Male,C,0,6.2,6.9,8.0,0
2024112,2024,AIML,Male,Python,1,7.5,9.3,6.8,3
2024113,2024,AIML,Male,Python,0,7.1,7.8,7.1,0
2024114,2024,AIML,Male,Python,0,6.3,7.2,5.6,2
2024115,2024,AIML,Male,Java,1,8.4,8.6,8.3,1
2024116,2024,AIML,Male,Java,1,9.1,9.8,8.9,1
2024117,2024,AIML,Male,Java,0,6.1,8.6,6.7,2
2024118,2024,AIML,Male,SQL,0,6.1,7.7,5.4,1
2024119,2024,AIML,Male,SQL,1,8.4,9.2,6.4,1
2024120,2024,AIML,Male,SQL,0,6.8,8.9,5.9,1
2024121,2024,AIML,Male,Machine Learning,1,7.6,9.5,7.9,2
2024122,2024,AIML,Male,Machine Learning,1,7.2,9.8,5.7,2
2024123,2024,AIML,Male,Machine Learning,1,7.6,8.5,9.0,1
2024124,2024,AIML,Male,Data Visualization,1,8.9,9.8,9.1,2
2024125,2024,AIML,Male,Data Visualization,0,6.5,9.7,9.1,2
2024126,2024,AIML,Male,Data Visualization,0,6.4,9.8,6.4,0
2024127,2024,AIML,Female,C,0,7.0,9.3,6.9,2
2024128,2024,AIML,Female,C,1,8.4,9.8,6.7,1
2024129,2024,AIML,Female,C,1,8.4,9.4,6.8,2
2024130,2024,AIML,Female,Python,1,9.3,9.8,7.9,2
2024131,2024,AIML,Female,Python,0,6.8,9.2,8.3,0
2024132,2024,AIML,Female,Python,0,7.3,9.1,8.9,1
2024133,2024,AIML,Female,Java,1,8.9,9.0,5.6,2
2024134,2024,AIML,Female,Java,1,7.7,9.2,6.6,2
2024135,2024,AIML,Female,Java,0,6.4,9.4,7.9,1
2024136,2024,AIML,Female,SQL,0,6.8,9.5,7.4,1
2024137,2024,AIML,Female,SQL,0,6.7,7.8,9.0,1
2024138,2024,AIML,Female,SQL,0,7.1,8.3,7.7,2
2024139,2024,AIML,Female,Machine Learning,0,6.4,7.6,9.1,1
2024140,2024,AIML,Female,Machine Learning,1,9.4,9.8,8.6,2
2024141,2024,AIML,Female,Machine Learning,0,6.7,7.7,7.0,0
2024142,2024,AIML,Female,Data Visualization,1,8.4,8.5,6.5,1
2024143,2024,AIML,Female,Data Visualization,0,7.1,9.2,7.4,2
2024144,2024,AIML,Female,Data Visualization,0,7.2,8.2,6.5,0
2024145,2024,IT,Male,C,0,7.4,8.8,7.0,1
2024146,2024,IT,Male,C,0,6.4,7.7,6.2,1
2024147,2024,IT,Male,C,1,9.2,9.7,6.2,0
